name,N,alpha0_best,A_morph,chi2_WT_best,chi2_WT_kappa,chi2_MOND,chi2_LCDM,WT_wins,MOND_wins,LCDM_wins,delta_chi2_WT_MOND,delta_chi2_WT_LCDM,Vmax_kms,Rout_kpc,f_gas_mean,f_gas_outer,M200_Msun,log10_M200,a_char,log10_a_char,m_used,A_morph_cluster,A_morph_cluster_confidence,A_morph_cluster_center
NGC2366,26,0.955,0.86714,4.26728,6.53913,29.2917,5.95581,1,0,0,-25.0244,-1.68854,53.7,6.06,0.48408,0.793141,51434000000.0,10.7113,1.54215e-11,-10.8119,1,1,1.0,1.1364993942857144
NGC2403,73,1.707,1.54996,26.9055,535.296,24.1414,186.569,0,1,0,2.76405,-159.664,136.0,20.87,0.149577,0.429295,835496000000.0,11.9219,2.87213e-11,-10.5418,1,1,1.0,1.1364993942857144
NGC2683,11,1.114,1.01151,3.42754,3.43168,9.40009,14.0427,1,0,0,-5.97254,-10.6152,212.0,34.62,0.019463,0.0235637,3164720000000.0,12.5003,4.20721e-11,-10.376,1,1,1.0,1.1364993942857144
NGC2841,50,2.144,1.94675,18.2188,158.063,51.6275,13.7166,0,0,1,-33.4087,4.5022,323.0,63.64,0.0806817,0.268434,11192700000000.0,13.0489,5.31281e-11,-10.2747,1,1,1.0,1.1364993942857144
NGC2903,34,1.367,1.24124,126.987,140.724,162.75,280.103,1,0,0,-35.763,-153.116,216.0,24.96,0.0259747,0.0624513,3347260000000.0,12.5247,6.05776e-11,-10.2177,1,1,1.0,1.1364993942857144
NGC2915,30,2.202,1.99942,1.12603,10.6537,5.49532,8.15717,1,0,0,-4.36929,-7.03114,86.5,10.04,0.295568,0.587059,214969000000.0,11.3324,2.41517e-11,-10.6171,1,1,1.0,1.1364993942857144
NGC2955,24,0.579,0.525732,38.0521,40.3637,58.8439,83.8003,1,0,0,-20.7918,-45.7483,276.0,35.43,0.0322983,0.132153,6983210000000.0,12.8441,6.96781e-11,-10.1569,1,1,1.0,1.1364993942857144
NGC2976,27,0.969,0.879852,1.08235,1.22952,4.15795,5.39263,1,0,0,-3.0756,-4.31028,88.7,2.27,0.0557918,0.141056,231792000000.0,11.3651,1.12324e-10,-9.94953,1,1,1.0,1.1364993942857144
NGC2998,13,1.252,1.13682,4.30707,12.5405,45.6397,21.3874,1,0,0,-41.3326,-17.0803,214.0,42.28,0.0619386,0.196928,3255140000000.0,12.5126,3.51028e-11,-10.4547,1,1,1.0,1.1364993942857144
NGC3109,25,1.399,1.27029,7.05229,11.4614,7.12861,14.7511,1,0,0,-0.0763172,-7.69879,67.3,6.45,0.510411,0.702872,101245000000.0,11.0054,2.27573e-11,-10.6429,1,1,1.0,1.1364993942857144
NGC3198,43,1.165,1.05782,9.13502,10.8191,45.0994,28.8783,1,0,0,-35.9644,-19.7433,157.0,44.08,0.0937519,0.375997,1285370000000.0,12.109,1.8122e-11,-10.7418,1,1,1.0,1.1364993942857144
NGC3521,41,1.384,1.25667,22.7468,23.0071,27.3547,32.7085,1,0,0,-4.60784,-9.96171,220.0,17.74,0.00994079,0.0758745,3536680000000.0,12.5486,8.84181e-11,-10.0535,1,1,1.0,1.1364993942857144
NGC3726,12,0.81,0.73548,6.21802,11.0515,37.3102,49.3897,1,0,0,-31.0921,-43.1717,169.0,32.52,0.0681755,0.133162,1603200000000.0,12.205,2.84625e-11,-10.5457,1,1,1.0,1.1364993942857144
NGC3741,21,1.432,1.30026,1.67966,5.6362,2.27828,3.77523,1,0,0,-0.598629,-2.09558,51.6,7.0,0.626074,0.912148,45632800000.0,10.6593,1.23268e-11,-10.9091,1,1,1.0,1.1364993942857144
NGC3769,12,1.091,0.990628,3.24071,3.2447,10.645,7.03559,1,0,0,-7.40428,-3.79488,126.0,37.16,0.157416,0.313197,664415000000.0,11.8224,1.38457e-11,-10.8587,1,1,1.0,1.1364993942857144
NGC3877,13,0.395,0.35866,7.62766,13.5274,21.9234,46.9511,1,0,0,-14.2958,-39.3235,171.0,11.35,0.0127131,0.0248329,1660800000000.0,12.2203,8.34922e-11,-10.0784,1,1,1.0,1.1364993942857144
NGC3893,10,1.495,1.35746,9.10411,11.0185,11.5675,16.8979,1,0,0,-2.46339,-7.79376,194.0,19.05,0.0624974,0.12219,2425120000000.0,12.3847,6.40262e-11,-10.1936,1,1,1.0,1.1364993942857144
NGC3917,17,1.434,1.30207,3.2201,10.6025,5.91142,2.49884,0,0,1,-2.69132,0.721266,138.0,14.86,0.0471218,0.11456,872901000000.0,11.941,4.15326e-11,-10.3816,1,1,1.0,1.1364993942857144
NGC3949,7,0.05,0.0454,12.9411,18.5959,28.0877,39.4776,1,0,0,-15.1466,-26.5365,169.0,7.07,0.0333072,0.0824973,1603200000000.0,12.205,1.30919e-10,-9.883,1,1,1.0,1.1364993942857144
NGC3953,8,0.776,0.704608,0.910986,2.05626,8.92111,34.4123,1,0,0,-8.01013,-33.5013,224.0,15.68,0.00906117,0.0285462,3733120000000.0,12.5721,1.03705e-10,-9.9842,1,1,1.0,1.1364993942857144
NGC3972,10,1.671,1.51727,1.10423,9.43825,1.05188,2.02388,0,1,0,0.0523471,-0.919653,134.0,8.72,0.0429282,0.0957457,799175000000.0,11.9026,6.67333e-11,-10.1757,1,1,1.0,1.1364993942857144
NGC3992,9,1.565,1.42102,5.84434,24.2198,6.70945,4.014,0,0,1,-0.86511,1.83034,272.0,46.02,0.0447192,0.081034,6683970000000.0,12.825,5.21004e-11,-10.2832,1,1,1.0,1.1364993942857144
NGC4010,12,1.263,1.1468,2.73118,3.59318,7.0025,5.70363,1,0,0,-4.27132,-2.97246,129.0,10.47,0.0662282,0.122633,713012000000.0,11.8531,5.15089e-11,-10.2881,1,1,1.0,1.1364993942857144
NGC4013,36,1.174,1.06599,6.43354,6.93261,22.9891,35.3169,1,0,0,-16.5556,-28.8833,198.0,31.01,0.0385539,0.0577351,2578240000000.0,12.4113,4.09711e-11,-10.3875,1,1,1.0,1.1364993942857144
NGC4051,7,0.27,0.24516,2.08424,9.36203,17.64,35.13,1,0,0,-15.5557,-33.0458,161.0,12.19,0.0173031,0.0499504,1386130000000.0,12.1418,6.89124e-11,-10.1617,1,1,1.0,1.1364993942857144
NGC4068,6,0.667,0.605636,1.6751,11.2935,33.8936,4.47636,1,0,0,-32.2185,-2.80126,41.9,2.33,0.197612,0.435519,24432600000.0,10.388,2.44186e-11,-10.6123,1,1,1.0,1.1364993942857144
NGC4085,7,0.072,0.065376,14.3096,21.5894,31.5157,48.1006,1,0,0,-17.2061,-33.791,136.0,6.2,0.0158733,0.0312648,835496000000.0,11.9219,9.66798e-11,-10.0147,1,1,1.0,1.1364993942857144
NGC4088,12,0.466,0.423128,26.6821,38.78,66.3475,90.4481,1,0,0,-39.6654,-63.7661,182.0,21.48,0.0482268,0.0979056,2002360000000.0,12.3015,4.99756e-11,-10.3012,1,1,1.0,1.1364993942857144
NGC4100,24,1.508,1.36926,2.98037,9.77743,3.56229,4.69708,1,0,0,-0.581912,-1.71671,195.0,22.76,0.0436685,0.0817168,2462810000000.0,12.3914,5.41435e-11,-10.2665,1,1,1.0,1.1364993942857144
NGC4138,7,1.331,1.20855,1.87128,2.23285,2.98743,3.49791,1,0,0,-1.11615,-1.62663,195.0,18.58,0.0243029,0.0495283,2462810000000.0,12.3914,6.63243e-11,-10.1783,1,1,1.0,1.1364993942857144
NGC4157,17,0.991,0.899828,9.66441,10.0742,23.2992,35.2785,1,0,0,-13.6348,-25.6141,201.0,29.61,0.0628331,0.104406,2697220000000.0,12.4309,4.42184e-11,-10.3544,1,1,1.0,1.1364993942857144
NGC4183,23,1.158,1.05146,2.07555,2.24137,7.50898,0.594189,0,0,1,-5.43343,1.48136,115.0,21.02,0.1942,0.334424,505151000000.0,11.7034,2.03898e-11,-10.6906,1,1,1.0,1.1364993942857144
NGC4214,14,2.169,1.96945,0.764696,9.3449,3.14443,7.72806,1,0,0,-2.37974,-6.96337,80.6,5.63,0.101077,0.17494,173913000000.0,11.2403,3.73948e-11,-10.4272,1,1,1.0,1.1364993942857144
