name,N,alpha0_best,A_morph,chi2_WT_best,chi2_WT_kappa,chi2_MOND,chi2_LCDM,WT_wins,MOND_wins,LCDM_wins,delta_chi2_WT_MOND,delta_chi2_WT_LCDM,Vmax_kms,Rout_kpc,f_gas_mean,f_gas_outer,M200_Msun,log10_M200,a_char,log10_a_char,m_used,A_morph_cluster,A_morph_cluster_confidence,A_morph_cluster_center
UGC05918,8,1.063,0.965204,0.384124,0.410476,2.28275,1.01195,1,0,0,-1.89863,-0.627831,44.5,4.46,0.26855,0.460797,29269000000.0,10.4664,1.43891e-11,-10.842,1,1,1.0,1.1364993942857144
UGC05986,15,2.049,1.86049,3.48491,67.1674,14.7512,39.4402,1,0,0,-11.2663,-35.9552,116.0,9.41,0.100441,0.246784,518444000000.0,11.7147,4.63421e-11,-10.334,1,1,1.0,1.1364993942857144
UGC05999,5,1.106,1.00425,1.91331,1.91475,8.17504,2.35963,1,0,0,-6.26173,-0.446324,100.0,16.22,0.380449,0.662639,332145000000.0,11.5213,1.99801e-11,-10.6994,1,1,1.0,1.1364993942857144
UGC06399,9,1.448,1.31478,0.358026,3.81887,0.480908,4.09347,1,0,0,-0.122882,-3.73544,87.6,7.85,0.13853,0.288408,223275000000.0,11.3488,3.16802e-11,-10.4992,1,1,1.0,1.1364993942857144
UGC06446,17,1.675,1.5209,1.61114,10.7645,2.2288,11.0288,1,0,0,-0.617658,-9.41762,84.9,10.22,0.36531,0.700697,203259000000.0,11.3081,2.28567e-11,-10.641,1,1,1.0,1.1364993942857144
UGC06614,13,1.076,0.977008,2.28215,2.29644,6.66521,12.7612,1,0,0,-4.38306,-10.479,205.0,64.59,0.0563975,0.308013,2861470000000.0,12.4566,2.10859e-11,-10.676,1,1,1.0,1.1364993942857144
UGC06628,7,0.308,0.279664,0.317194,10.8737,21.187,4.504,1,0,0,-20.8698,-4.1868,42.3,7.69,0.130541,0.310834,25139000000.0,10.4003,7.54056e-12,-11.1226,1,1,1.0,1.1364993942857144
UGC06667,9,2.179,1.97853,3.35007,41.5164,20.496,32.2382,1,0,0,-17.1459,-28.8881,85.7,7.85,0.37945,0.509492,209060000000.0,11.3203,3.03209e-11,-10.5183,1,1,1.0,1.1364993942857144
UGC06786,45,2.452,2.22642,9.54215,327.967,109.133,89.3459,1,0,0,-99.5906,-79.8038,229.0,34.05,0.0203819,0.0801088,3988730000000.0,12.6008,4.99118e-11,-10.3018,1,1,1.0,1.1364993942857144
UGC06787,71,2.613,2.3726,61.0417,435.078,225.302,93.0769,1,0,0,-164.26,-32.0352,276.0,37.19,0.0161505,0.0842774,6983210000000.0,12.8441,6.63806e-11,-10.178,1,1,1.0,1.1364993942857144
UGC06818,8,0.868,0.788144,4.06489,5.47942,14.4737,6.09384,1,0,0,-10.4088,-2.02895,74.4,6.98,0.107511,0.265826,136788000000.0,11.136,2.57004e-11,-10.5901,1,1,1.0,1.1364993942857144
UGC06917,11,1.481,1.34475,0.877137,8.47148,1.33821,4.08312,1,0,0,-0.461072,-3.20598,111.0,10.47,0.108931,0.272741,454252000000.0,11.6573,3.81372e-11,-10.4187,1,1,1.0,1.1364993942857144
UGC06923,6,1.248,1.13318,0.965345,1.41611,3.71869,1.77283,1,0,0,-2.75334,-0.807488,81.1,5.16,0.148569,0.260853,177170000000.0,11.2484,4.13087e-11,-10.384,1,1,1.0,1.1364993942857144
UGC06930,10,1.183,1.07416,1.07644,1.33701,5.07902,0.545484,0,0,1,-4.00258,0.53096,109.0,16.61,0.195396,0.37422,430137000000.0,11.6336,2.3181e-11,-10.6349,1,1,1.0,1.1364993942857144
UGC06973,9,0.05,0.0454,333.449,349.695,390.566,428.724,1,0,0,-57.1168,-95.2749,180.0,7.85,0.0167111,0.0294882,1937070000000.0,12.2871,1.3376e-10,-9.87368,1,1,1.0,1.1364993942857144
UGC06983,17,1.591,1.44463,1.64071,10.7353,1.17997,6.84905,0,1,0,0.460748,-5.20834,113.0,15.68,0.240598,0.501249,479251000000.0,11.6806,2.63913e-11,-10.5785,1,1,1.0,1.1364993942857144
UGC07089,12,0.794,0.720952,0.496892,4.02721,18.5478,3.45075,1,0,0,-18.0509,-2.95386,79.1,9.16,0.140251,0.251864,164383000000.0,11.2159,2.21364e-11,-10.6549,1,1,1.0,1.1364993942857144
UGC07125,13,0.576,0.523008,1.31981,76.7272,177.363,18.3934,1,0,0,-176.043,-17.0736,65.6,18.68,0.37183,0.634576,93764700000.0,10.972,7.46587e-12,-11.1269,1,1,1.0,1.1364993942857144
UGC07151,11,1.281,1.16315,2.36933,4.58651,8.61896,2.7511,1,0,0,-6.24963,-0.381774,76.2,5.5,0.125889,0.259225,146958000000.0,11.1672,3.42134e-11,-10.4658,1,1,1.0,1.1364993942857144
UGC07232,4,1.586,1.44009,1.69692,3.25452,1.86256,3.66785,1,0,0,-0.165642,-1.97093,44.0,0.82,0.117571,0.216403,28293400000.0,10.4517,7.6514e-11,-10.1163,1,1,1.0,1.1364993942857144
UGC07261,7,1.299,1.17949,0.55642,1.24963,1.39886,1.36617,1,0,0,-0.84244,-0.809751,76.1,6.67,0.131593,0.411259,146380000000.0,11.1655,2.8138e-11,-10.5507,1,1,1.0,1.1364993942857144
UGC07323,10,1.027,0.932516,0.94748,1.15497,12.8468,2.54637,1,0,0,-11.8993,-1.59889,85.6,5.82,0.0687056,0.182084,208329000000.0,11.3187,4.08013e-11,-10.3893,1,1,1.0,1.1364993942857144
UGC07399,10,3.0,2.724,2.28465,114.35,61.2401,91.3582,1,0,0,-58.9555,-89.0736,106.0,6.13,0.231215,0.403736,395590000000.0,11.5972,5.9402e-11,-10.2262,1,1,1.0,1.1364993942857144
UGC07524,31,1.105,1.00334,1.41222,1.41337,9.63194,1.34651,0,0,1,-8.21972,0.0657101,83.8,10.69,0.23092,0.448545,195461000000.0,11.2911,2.12892e-11,-10.6718,1,1,1.0,1.1364993942857144
UGC07559,7,0.639,0.580212,0.47016,5.67433,14.5233,1.01989,1,0,0,-14.0531,-0.549726,32.1,2.53,0.277132,0.530673,10986100000.0,10.0408,1.31989e-11,-10.8795,1,1,1.0,1.1364993942857144
UGC07577,9,0.246,0.223368,0.215303,14.7649,23.3914,3.63313,1,0,0,-23.1761,-3.41782,17.8,1.69,0.207384,0.371196,1873220000.0,9.27259,6.07579e-12,-11.2164,1,1,1.0,1.1364993942857144
UGC07603,12,1.74,1.57992,1.22184,14.0865,3.14356,18.5201,1,0,0,-1.92172,-17.2982,64.0,4.11,0.216674,0.40546,87069800000.0,10.9399,3.22974e-11,-10.4908,1,1,1.0,1.1364993942857144
UGC07608,8,1.797,1.63168,0.370803,3.13319,1.05784,3.44262,1,0,0,-0.687039,-3.07182,69.3,4.78,0.419495,0.687545,110542000000.0,11.0435,3.25603e-11,-10.4873,1,1,1.0,1.1364993942857144
UGC07690,7,1.167,1.05964,1.1018,1.1846,3.45321,0.656154,0,0,1,-2.35141,0.445648,60.7,4.13,0.172217,0.340506,74283700000.0,10.8709,2.89119e-11,-10.5389,1,1,1.0,1.1364993942857144
UGC07866,7,0.731,0.663748,0.0247468,1.86932,6.18791,0.0639998,1,0,0,-6.16316,-0.039253,33.1,2.32,0.231966,0.434786,12045100000.0,10.0808,1.53044e-11,-10.8152,1,1,1.0,1.1364993942857144
UGC08286,17,1.769,1.60625,6.12997,58.3993,11.9256,59.3333,1,0,0,-5.7956,-53.2033,84.3,8.04,0.213745,0.478796,198980000000.0,11.2988,2.8645e-11,-10.543,1,1,1.0,1.1364993942857144
UGC08490,30,1.707,1.54996,2.5255,16.6169,3.17074,16.121,1,0,0,-0.645231,-13.5955,80.1,10.15,0.329214,0.534442,170697000000.0,11.2322,2.04856e-11,-10.6886,1,1,1.0,1.1364993942857144
UGC08550,11,1.414,1.28391,1.12031,8.58113,0.928851,17.7703,0,1,0,0.191456,-16.65,57.8,5.36,0.300613,0.667084,64137400000.0,10.8071,2.01995e-11,-10.6947,1,1,1.0,1.1364993942857144
UGC08699,41,1.855,1.68434,8.83376,27.1689,16.6032,15.2985,1,0,0,-7.76944,-6.46477,202.0,25.7,0.0290151,0.114621,2737670000000.0,12.4374,5.1454e-11,-10.2886,1,1,1.0,1.1364993942857144
UGC08837,8,0.538,0.488504,4.71662,26.9994,57.7496,14.8373,1,0,0,-53.033,-10.1207,48.0,4.2,0.221557,0.441546,36732600000.0,10.5651,1.7778e-11,-10.7501,1,1,1.0,1.1364993942857144
UGC09037,22,0.756,0.686448,21.4824,28.5469,60.1422,68.5708,1,0,0,-38.6598,-47.0884,160.0,27.96,0.139174,0.295552,1360470000000.0,12.1337,2.96724e-11,-10.5276,1,1,1.0,1.1364993942857144
UGC09133,68,1.108,1.00606,74.5528,74.6039,252.104,335.119,1,0,0,-177.551,-260.566,289.0,108.31,0.0507874,0.188412,8017170000000.0,12.904,2.49906e-11,-10.6022,1,1,1.0,1.1364993942857144
UGC09992,5,0.583,0.529364,0.375392,4.08676,9.66132,0.502383,1,0,0,-9.28593,-0.12699,34.3,3.89,0.260756,0.387812,13403200000.0,10.1272,9.8014e-12,-11.0087,1,1,1.0,1.1364993942857144
UGC10310,7,1.146,1.04057,0.815809,0.868032,3.72335,1.11314,1,0,0,-2.90754,-0.297328,73.2,7.74,0.211045,0.431745,130275000000.0,11.1149,2.24352e-11,-10.6491,1,1,1.0,1.1364993942857144
UGC11455,36,1.101,0.999708,21.6195,21.6195,35.8759,70.673,1,0,0,-14.2564,-49.0535,291.0,41.93,0.0132145,0.0539984,8184770000000.0,12.913,6.54501e-11,-10.1841,1,1,1.0,1.1364993942857144
UGC11557,12,0.369,0.335052,2.04165,11.697,27.0588,15.9823,1,0,0,-25.0172,-13.9406,85.0,10.56,0.0416104,0.150932,203979000000.0,11.3096,2.21729e-11,-10.6542,1,1,1.0,1.1364993942857144
UGC11820,10,1.043,0.947044,1.68488,4.88839,118.455,1.15402,0,0,1,-116.77,0.530868,84.45,15.82,0.324888,0.811983,200045000000.0,11.3011,1.46097e-11,-10.8354,1,1,1.0,1.1364993942857144
UGC11914,65,1.886,1.71249,9.70264,11.4393,14.7941,30.7914,1,0,0,-5.09149,-21.0888,305.0,9.83,0.00182115,0.0129101,9423830000000.0,12.9742,3.06687e-10,-9.5133,1,1,1.0,1.1364993942857144
UGC12506,31,1.846,1.67617,6.014,15.9444,6.26884,3.54698,0,0,1,-0.254842,2.46702,255.0,49.99,0.130809,0.334783,5507420000000.0,12.7409,4.21548e-11,-10.3752,1,1,1.0,1.1364993942857144
UGC12632,15,1.109,1.00697,2.09375,2.09774,9.15471,2.69524,1,0,0,-7.06096,-0.601488,73.2,10.66,0.284991,0.579977,130275000000.0,11.1149,1.62897e-11,-10.7881,1,1,1.0,1.1364993942857144
UGC12732,16,1.267,1.15044,0.968208,3.11891,2.63566,1.85768,1,0,0,-1.66745,-0.889471,98.0,15.4,0.350194,0.784152,312612000000.0,11.495,2.02107e-11,-10.6944,1,1,1.0,1.1364993942857144
UGCA281,7,1.062,0.964296,0.251298,0.30577,7.75657,2.40726,1,0,0,-7.50527,-2.15596,29.5,1.08,0.191012,0.265251,8526950000.0,9.93079,2.61138e-11,-10.5831,1,1,1.0,1.1364993942857144
UGCA442,8,1.395,1.26666,2.13601,18.1683,3.29701,26.2502,1,0,0,-1.161,-24.1142,57.8,6.33,0.682832,0.71327,64137400000.0,10.8071,1.71041e-11,-10.7669,1,1,1.0,1.1364993942857144
UGCA444,36,1.07,0.97156,0.112377,0.122468,1.25779,0.637665,1,0,0,-1.14542,-0.525288,38.3,2.62,0.805434,0.873728,18660500000.0,10.2709,1.81445e-11,-10.7413,1,1,1.0,1.1364993942857144
